Time,Station,Site,MeanPeanuts,MeanRaisins,MeanGUD,SQRTTotal,Elevation,Vegetation
2100,A1,DA,10.67,15,12.83,3.58,low,high
2100,A2,DA,6.33,10.67,8.5,2.92,high,low
2100,A3,DA,5.33,12.33,8.83,2.97,high,low
2100,B1,DA,10.67,15,12.83,3.58,low,high
2100,B2,DA,9,11,10,3.16,high,low
2100,B3,DA,6,8.67,7.33,2.71,low,low
2100,C1,DA,6.33,12.67,9.5,3.08,high,medium
2100,C2,DA,14,12.33,13.17,3.63,low,low
2100,C3,DA,12.67,13.67,13.17,3.63,high,medium
2100,A1,DN,14.33,17,15.67,3.96,low,low
2100,A2,DN,16.33,18,17.17,4.14,low,high
2100,A3,DN,17.67,17.33,17.5,4.18,low,high
2100,B1,DN,16.67,17.33,17,4.12,low,medium
2100,B2,DN,10,13,11.5,3.39,medium,high
2100,B3,DN,11.33,14.33,12.83,3.58,high,low
2100,C1,DN,16,18.67,17.33,4.16,low,low
2100,C2,DN,12.67,15.33,14,3.74,medium,low
2100,C3,DN,9,13.67,11.33,3.37,high,low
2100,A1,DS,10,12.67,11.33,3.37,medium,low
2100,A2,DS,7.33,9.67,8.5,2.92,medium,high
2100,A3,DS,9.67,14.33,12,3.46,low,high
2100,B1,DS,11.33,11.33,11.33,3.37,low,high
2100,B2,DS,12.33,12.33,12.33,3.51,low,medium
2100,B3,DS,6.33,13,9.67,3.11,high,medium
2100,C1,DS,8.67,10,9.33,3.06,high,low
2100,C2,DS,7.33,12.67,10,3.16,high,low
2100,C3,DS,5.33,13.67,9.5,3.08,high,low
1300,A1,DA,10.5,13.5,12,3.46,low,high
1300,A2,DA,9.5,12,10.75,3.28,high,low
1300,A3,DA,10,11,10.5,3.24,high,low
1300,B1,DA,10,14.5,12.25,3.5,low,high
1300,B2,DA,10,11,10.5,3.24,high,low
1300,B3,DA,8.5,10.5,9.5,3.08,low,low
1300,C1,DA,13.5,13,13.25,3.64,high,medium
1300,C2,DA,9.5,12.5,11,3.32,low,low
1300,C3,DA,5.5,13,9.25,3.04,high,medium
1300,A1,DN,13,10,11.5,3.39,low,low
1300,A2,DN,10,12,11,3.32,low,high
1300,A3,DN,10,14.5,12.25,3.5,low,high
1300,B1,DN,7,14.5,10.75,3.28,low,medium
1300,B2,DN,11,13.5,12.25,3.5,medium,high
1300,B3,DN,7,8.5,7.75,2.78,high,low
1300,C1,DN,16,16,16,4,low,low
1300,C2,DN,9,11,10,3.16,medium,low
1300,C3,DN,9,12,10.5,3.24,high,low
1300,A1,DS,8.5,14,11.25,3.35,medium,low
1300,A2,DS,6,13.5,9.75,3.12,medium,high
1300,A3,DS,12.5,17,14.75,3.84,low,high
1300,B1,DS,11,13.5,12.25,3.5,low,high
1300,B2,DS,7.5,12,9.75,3.12,low,medium
1300,B3,DS,6.5,11.5,9,3,high,medium
1300,C1,DS,9,11.5,10.25,3.2,high,low
1300,C2,DS,9.5,12,10.75,3.28,high,low
1300,C3,DS,12,9.5,10.75,3.28,high,low
