Time,Transect,Station,Mean Peanuts,Mean Raisins,Mean GUD,SQRT GUD,,,overall mean GUD
1300,BW,1,8.5,14,11.25,3.35,,,3.186666667
1300,BW,2,5.5,9.75,7.63,2.76,,,2.763333333
1300,BW,3,5,7.25,6.13,2.47,,,2.97
1300,BW,4,5,7,6,2.45,,,2.783333333
1300,BW,5,12.5,15.5,14,3.74,,,3.463333333
1300,FP,1,10.75,13.75,12.25,3.5,,,3.06
1300,FP,2,11.25,14,12.63,3.55,,,3.023333333
1300,FP,3,10,11.75,10.88,3.3,,,3.066666667
1300,FP,4,11.75,13.25,12.5,3.54,,,3.02
1300,FP,5,5,6.5,5.75,2.4,,,1.923333333
1300,HS,1,0,1.5,0.75,0.87,,,2.18
1300,HS,2,1,2.25,1.63,1.27,,,2.42
1300,HS,3,3,6.75,4.88,2.21,,,2.733333333
1300,HS,4,5.25,3,4.13,2.03,,,2.533333333
1300,HS,5,5.5,6,5.75,2.4,,,2.423333333
1300,MH,1,4,11.5,7.75,2.78,,,2.83
1300,MH,2,5.5,12.5,9,3,,,2.933333333
1300,MH,3,7.25,13.75,10.5,3.24,,,3.05
1300,MH,4,12.25,14.75,13.5,3.67,,,3.116666667
1300,MH,5,12.75,16.75,14.75,3.84,,,3.39
1300,NP,1,11.25,13.25,12.25,3.5,,,3.026666667
1300,NP,2,12,14.75,13.38,3.66,,,2.95
1300,NP,3,11.25,14.25,12.75,3.57,,,2.92
1300,NP,4,11.25,14.25,12.75,3.57,,,2.883333333
1300,NP,5,16.75,15.25,16,4,,,3.213333333
1300,PM,1,0.75,1.5,1.13,1.06,,,2.653333333
1300,PM,2,1.25,4.5,2.88,1.7,,,2.856666667
1300,PM,3,4.75,7.5,6.13,2.47,,,3.416666667
1300,PM,4,8,10.75,9.38,3.06,,,3.66
1300,PM,5,15,15.5,15.25,3.91,,,4.156666667
2100,BW,1,3,8.75,5.88,2.42,,,
2100,BW,2,0.75,6,3.38,1.84,,,
2100,BW,3,0.5,11.75,6.13,2.47,,,
2100,BW,4,0.25,8,4.13,2.03,,,
2100,BW,5,0.5,12.75,6.63,2.57,,,
2100,FP,1,0,3,1.5,1.22,,,
2100,FP,2,1,0.75,0.88,0.94,,,
2100,FP,3,0.75,2.75,1.75,1.32,,,
2100,FP,4,0.25,2.75,1.5,1.22,,,
2100,FP,5,0.25,1.25,0.75,0.87,,,
2100,HS,1,0.5,3.5,2,1.41,,,
2100,HS,2,1.5,2.5,2,1.41,,,
2100,HS,3,0.25,5,2.63,1.62,,,
2100,HS,4,0.75,1.5,1.13,1.06,,,
2100,HS,5,0,0.5,0.25,0.5,,,
2100,MH,1,1.75,6,3.88,1.97,,,
2100,MH,2,0.5,7.75,4.13,2.03,,,
2100,MH,3,0.75,5.75,3.25,1.8,,,
2100,MH,4,0.75,6.25,3.5,1.87,,,
2100,MH,5,0.5,8.75,4.63,2.15,,,
2100,NP,1,0.25,1.75,1,1,,,
2100,NP,2,0,0.75,0.38,0.61,,,
2100,NP,3,0,0.75,0.38,0.61,,,
2100,NP,4,0,0.5,0.25,0.5,,,
2100,NP,5,0.25,2,1.13,1.06,,,
2100,PM,1,5.5,5.25,5.38,2.32,,,
2100,PM,2,5.5,5,5.25,2.29,,,
2100,PM,3,10,10.5,10.25,3.2,,,
2100,PM,4,11.25,11,11.13,3.34,,,
2100,PM,5,16.5,15.25,15.88,3.98,,,
500,BW,1,12.5,16.25,14.38,3.79,,,
500,BW,2,10.75,16.5,13.63,3.69,,,
500,BW,3,14.5,17,15.75,3.97,,,
500,BW,4,13,17,15,3.87,,,
500,BW,5,16,17.25,16.63,4.08,,,
500,FP,1,22,17.75,19.88,4.46,,,
500,FP,2,22,20,21,4.58,,,
500,FP,3,22,20,21,4.58,,,
500,FP,4,20.75,16.25,18.5,4.3,,,
500,FP,5,3.25,9.25,6.25,2.5,,,
500,HS,1,20.75,15.5,18.13,4.26,,,
500,HS,2,22,20,21,4.58,,,
500,HS,3,20.5,17.75,19.13,4.37,,,
500,HS,4,21.5,19.25,20.38,4.51,,,
500,HS,5,21.5,16.75,19.13,4.37,,,
500,MH,1,12.5,15.5,14,3.74,,,
500,MH,2,13.75,14.75,14.25,3.77,,,
500,MH,3,16.5,17.25,16.88,4.11,,,
500,MH,4,15.5,13.5,14.5,3.81,,,
500,MH,5,17.75,17.25,17.5,4.18,,,
500,NP,1,22,20,21,4.58,,,
500,NP,2,22,20,21,4.58,,,
500,NP,3,22,20,21,4.58,,,
500,NP,4,22,20,21,4.58,,,
500,NP,5,22,20,21,4.58,,,
500,PM,1,22,20,21,4.58,,,
500,PM,2,22,20,21,4.58,,,
500,PM,3,22,20,21,4.58,,,
500,PM,4,22,20,21,4.58,,,
500,PM,5,22,20,21,4.58,,,
